zip_code,pop_25_over,pct_bachelors_plus_25_over,count_bachelors_plus_25_over,pop_18_24,pct_bachelor_and_over_18_24,count_bachelors_plus_18_24
11937,15868.0,52.4,8315,1710.0,11.5,197
11939,1455.0,47.7,694,105.0,33.3,35
11940,3841.0,34.9,1341,451.0,20.0,90
11941,1845.0,39.6,731,134.0,0.0,0
11942,4399.0,50.9,2239,344.0,29.4,101
11944,3723.0,43.5,1620,250.0,19.2,48
11946,12230.0,42.7,5222,1756.0,16.5,290
11947,215.0,14.4,31,0.0,,
11948,611.0,54.3,332,138.0,0.0,0
11949,9598.0,35.0,3359,970.0,23.9,232
11950,10723.0,15.9,1705,1693.0,6.3,107
11951,9895.0,20.5,2028,1185.0,7.1,84
11952,3787.0,50.5,1912,297.0,0.0,0
11953,9898.0,32.3,3197,850.0,8.7,74
11954,3047.0,48.9,1490,267.0,6.4,17
11955,2025.0,37.7,763,186.0,20.4,38
11956,239.0,68.6,164,29.0,0.0,0
11957,1091.0,58.9,643,15.0,0.0,0
11958,560.0,39.6,222,70.0,0.0,0
11959,415.0,38.6,160,33.0,0.0,0
11960,777.0,69.1,537,44.0,0.0,0
11961,9696.0,31.3,3035,728.0,34.2,249
11962,490.0,83.1,407,12.0,0.0,0
11963,6234.0,54.5,3398,349.0,22.6,79
11964,2003.0,52.3,1048,218.0,0.0,0
11965,314.0,84.4,265,107.0,0.0,0
11967,18793.0,18.1,3402,2335.0,17.3,404
11968,11024.0,60.5,6670,939.0,6.8,64
11970,468.0,66.0,309,0.0,,
11971,4846.0,52.8,2559,274.0,25.9,71
11972,209.0,53.1,111,0.0,,
11973,4.0,100.0,4,38.0,31.6,12
11975,377.0,58.9,222,18.0,0.0,0
11976,1999.0,77.2,1543,159.0,40.3,64
11977,2174.0,56.9,1237,138.0,18.1,25
11978,3096.0,59.1,1830,503.0,23.1,116
11980,4028.0,39.3,1583,381.0,23.6,90
12007,230.0,35.7,82,0.0,,
12008,362.0,43.9,159,25.0,0.0,0
12009,5764.0,52.9,3049,585.0,44.3,259
12010,19431.0,22.9,4450,1755.0,11.1,195
12015,3172.0,39.4,1250,195.0,29.7,58
12017,384.0,57.6,221,29.0,0.0,0
12018,5327.0,42.7,2275,250.0,10.0,25
12019,11497.0,53.6,6162,829.0,19.4,161
12020,24492.0,42.6,10434,2873.0,30.4,873
12022,761.0,24.6,187,78.0,38.5,30
12023,1493.0,29.3,437,308.0,9.4,29
12024,72.0,37.5,27,0.0,,
12025,4059.0,31.2,1266,380.0,7.1,27
12027,3145.0,53.6,1686,468.0,24.6,115
12028,720.0,21.3,153,166.0,7.2,12
12029,809.0,47.3,383,81.0,12.3,10
12031,192.0,22.4,43,0.0,,
12032,587.0,17.5,103,36.0,0.0,0
12033,5993.0,34.7,2080,419.0,17.9,75
12035,340.0,25.6,87,31.0,0.0,0
12036,230.0,18.7,43,39.0,12.8,5
12037,2944.0,47.3,1393,393.0,34.6,136
12040,29.0,13.8,4,0.0,,
12041,333.0,26.1,87,0.0,,
12042,205.0,30.7,63,35.0,57.1,20
12043,5092.0,27.7,1410,1495.0,3.5,52
12045,185.0,50.8,94,52.0,100.0,52
12046,451.0,22.8,103,0.0,,
12047,15417.0,32.7,5041,2402.0,28.6,687
