,postalCode,shape_area,borough,PO_NAME,area_sqkm,area_sqmi
133,10467,69336166.3722,Bronx,Bronx,69.3361663722,26.770832508639163
134,10468,34447604.6725,Bronx,Bronx,34.4476046725,13.300289059261594
135,10469,68040887.07,Bronx,Bronx,68.04088707,26.27072257950114
136,10470,21543461.5815,Bronx,Bronx,21.5434615815,8.317973603540313
137,10471,89651407.0575,Bronx,Bronx,89.65140705750001,34.61458756771487
138,10472,30963245.188,Bronx,Bronx,30.963245188000002,11.954970893577176
139,10473,59522354.5398,Bronx,Bronx,59.522354539800006,22.981700132525862
140,10474,40614090.1894,Bronx,Bronx,40.6140901894,15.68118145030772
141,10475,38633296.936,Bronx,Bronx,38.633296935999994,14.91639321358347
142,11001,9155180.26263,Queens,Floral Park,9.155180262630001,3.5348334097619687
143,11004,22606526.9139,Queens,Glen Oaks,22.606526913899998,8.728425254510617
144,11005,9075527.40364,Queens,Floral Park,9.07552740364,3.5040792816002115
145,11040,6269333.41234,Queens,New Hyde Park,6.26933341234,2.420602169171299
146,11096,1624420.03945,Queens,Inwood,1.6244200394500001,0.627191826071724
147,11101,79311462.7741,Queens,Long Island City,79.31146277410001,30.62231440000556
148,11102,19116258.4366,Queens,Astoria,19.1162584366,7.380825614888133
149,11103,20222394.6253,Queens,Astoria,20.2223946253,7.8079070096175816
150,11104,12084432.1157,Queens,Sunnyside,12.0844321157,4.665823408736001
151,11105,48795608.0803,Queens,Astoria,48.795608080300006,18.840081871019994
152,11106,23866112.7254,Queens,Astoria,23.8661127254,9.21475385550239
153,11109,231863.117494,Queens,Long Island City,0.23186311749400002,0.0895228133906684
154,11201,41094887.0403,Brooklyn,Brooklyn,41.094887040299994,15.866818076033908
155,11203,60644835.4564,Brooklyn,Brooklyn,60.6448354564,23.415092259386952
156,11204,43555184.6142,Brooklyn,Brooklyn,43.5551846142,16.816743889911848
157,11205,23159720.6632,Brooklyn,Brooklyn,23.159720663199998,8.942014467502846
158,11206,40680014.9528,Brooklyn,Brooklyn,40.6800149528,15.706635133305985
159,11207,73742269.4034,Brooklyn,Brooklyn,73.7422694034,28.472037701191546
160,11208,79294685.4617,Brooklyn,Brooklyn,79.29468546170001,30.6158366461333
161,11209,57842313.9593,Brooklyn,Brooklyn,57.84231395929999,22.333033104313646
162,11210,47887022.9918,Brooklyn,Brooklyn,47.8870229918,18.489275351179966
163,11211,58162525.353,Brooklyn,Brooklyn,58.162525353,22.456667363844005
164,11212,41972104.0712,Brooklyn,Brooklyn,41.9721040712,16.205513326098462
165,11213,29631004.4378,Brooklyn,Brooklyn,29.6310044378,11.440590075443456
166,11214,61096539.3863,Brooklyn,Brooklyn,61.096539386299995,23.5894960501292
167,11215,61922821.7464,Brooklyn,Brooklyn,61.9228217464,23.908525321928533
168,11216,26478229.2634,Brooklyn,Brooklyn,26.4782292634,10.223297275057266
169,11217,21648157.7324,Brooklyn,Brooklyn,21.6481577324,8.358396996795106
170,11218,36868798.99,Brooklyn,Brooklyn,36.86879899,14.235117027636981
171,11219,42002738.4672,Brooklyn,Brooklyn,42.002738467200004,16.217341327662854
172,11220,47453785.7906,Brooklyn,Brooklyn,47.4537857906,18.322001601322242
173,11221,38580480.4348,Brooklyn,Brooklyn,38.5804804348,14.89600065683715
174,11222,42904553.7275,Brooklyn,Brooklyn,42.9045537275,16.565534003295205
175,11223,58702923.4668,Brooklyn,Brooklyn,58.702923466799994,22.665316156378413
176,11224,46701983.7555,Brooklyn,Brooklyn,46.7019837555,18.031729331966062
177,11225,23698630.1254,Brooklyn,Brooklyn,23.698630125399998,9.15008848867719
178,11226,39408598.2793,Brooklyn,Brooklyn,39.408598279299994,15.215738612834286
179,11228,43893024.7311,Brooklyn,Brooklyn,43.8930247311,16.947184634727172
180,11229,60119326.147,Brooklyn,Brooklyn,60.119326147,23.212192064008995
181,11230,49926703.3932,Brooklyn,Brooklyn,49.9267033932,19.276800033521308
182,11231,40081670.758287,Brooklyn,Brooklyn,40.081670758287,15.475613243116126
183,11232,55879065.1487,Brooklyn,Brooklyn,55.8790651487,21.575018812043368
184,11233,37871693.6822,Brooklyn,Brooklyn,37.8716936822,14.622336674084783
185,11234,206201040.079,Brooklyn,Brooklyn,206.201040079,79.61463397658206
186,11235,69053803.0316,Brooklyn,Brooklyn,69.0538030316,26.661811458106822
187,11236,96373991.6197,Brooklyn,Brooklyn,96.37399161969999,37.210190912349404
188,11237,27373778.4839,Brooklyn,Brooklyn,27.3737784839,10.569070620190757
