geography,population,is_zipcode
12137,2347.0,True
12138,2826.0,True
12139,243.0,True
12140,1526.0,True
12143,5462.0,True
12144,21631.0,True
12147,508.0,True
12148,4121.0,True
12149,2176.0,True
12150,665.0,True
12151,986.0,True
12153,751.0,True
12154,2875.0,True
12155,1812.0,True
12156,939.0,True
12157,4444.0,True
12158,6221.0,True
12159,8794.0,True
12160,735.0,True
12161,41.0,True
12164,520.0,True
12165,202.0,True
12166,1459.0,True
12167,2257.0,True
12168,1691.0,True
12169,407.0,True
12170,5225.0,True
12172,184.0,True
12173,2040.0,True
12174,571.0,True
12175,725.0,True
12176,431.0,True
12177,361.0,True
12180,54071.0,True
12182,14273.0,True
12183,2966.0,True
12184,7547.0,True
12185,1699.0,True
12186,6608.0,True
12187,739.0,True
12188,11414.0,True
12189,18205.0,True
12190,683.0,True
12192,1033.0,True
12193,1829.0,True
12194,213.0,True
12195,155.0,True
12196,3848.0,True
12197,2275.0,True
12198,7337.0,True
12202,9500.0,True
12203,30080.0,True
12204,8423.0,True
12205,25912.0,True
12206,14592.0,True
12207,2097.0,True
12208,23936.0,True
12209,10754.0,True
12210,9725.0,True
12211,13800.0,True
12222,6494.0,True
12226,0.0,True
12302,27470.0,True
12303,29989.0,True
12304,22027.0,True
12305,7764.0,True
12306,27569.0,True
12307,7977.0,True
12308,13985.0,True
12309,32996.0,True
12401,35058.0,True
12404,4046.0,True
12405,449.0,True
12406,609.0,True
12407,197.0,True
12409,877.0,True
12410,379.0,True
12411,288.0,True
12412,603.0,True
12413,3406.0,True
12414,10034.0,True
12416,129.0,True
12417,984.0,True
12418,321.0,True
12419,1115.0,True
12420,435.0,True
12421,238.0,True
12422,469.0,True
12423,1033.0,True
12424,242.0,True
12427,926.0,True
12428,6972.0,True
12429,168.0,True
12430,1232.0,True
12431,1705.0,True
12432,654.0,True
12433,525.0,True
12434,892.0,True
12435,181.0,True
12436,516.0,True
12438,71.0,True
12439,380.0,True
12440,1577.0,True
12441,58.0,True
12442,425.0,True
12443,3601.0,True
12444,519.0,True
12446,5232.0,True
12448,163.0,True
12449,2916.0,True
12450,200.0,True
12451,849.0,True
12452,33.0,True
12453,212.0,True
12454,368.0,True
12455,1859.0,True
12456,666.0,True
12457,1171.0,True
12458,3195.0,True
12459,73.0,True
12460,161.0,True
12461,1426.0,True
12463,1531.0,True
12464,1071.0,True
12465,329.0,True
12466,1947.0,True
12468,1413.0,True
12469,842.0,True
12470,651.0,True
12471,274.0,True
12472,1118.0,True
12473,693.0,True
12474,891.0,True
12475,569.0,True
12477,18789.0,True
12480,499.0,True
12481,1359.0,True
12482,601.0,True
12483,59.0,True
12484,3271.0,True
12485,1136.0,True
12486,1737.0,True
12487,3829.0,True
12489,114.0,True
12490,0.0,True
12491,2017.0,True
12492,213.0,True
12493,343.0,True
12494,876.0,True
12495,229.0,True
12496,1241.0,True
12498,4530.0,True
12501,2374.0,True
12502,1019.0,True
12503,750.0,True
12504,1057.0,True
12507,279.0,True
12508,19519.0,True
12512,232.0,True
12513,198.0,True
12514,3120.0,True
12515,1483.0,True
12516,1748.0,True
12517,270.0,True
12518,5728.0,True
12520,3088.0,True
12521,1874.0,True
12522,5074.0,True
12523,2132.0,True
12524,15079.0,True
12525,1710.0,True
12526,3427.0,True
12527,42.0,True
12528,13818.0,True
12529,2345.0,True
12530,218.0,True
12531,2316.0,True
12533,26770.0,True
12534,17468.0,True
12538,14104.0,True
12540,9314.0,True
12542,5859.0,True
12543,3147.0,True
12544,54.0,True
12545,4389.0,True
12546,2710.0,True
12547,2808.0,True
12548,1039.0,True
12549,10896.0,True
12550,54996.0,True
12553,27300.0,True
12561,18531.0,True
12563,7456.0,True
12564,7910.0,True
12565,1575.0,True
12566,11718.0,True
12567,2498.0,True
12569,9766.0,True
12570,6324.0,True
12571,10168.0,True
12572,9168.0,True
12574,422.0,True
12575,1743.0,True
12577,1613.0,True
12578,2306.0,True
12580,4169.0,True
12581,1928.0,True
12582,6157.0,True
12583,1927.0,True
12585,1252.0,True
12586,12874.0,True
12589,19639.0,True
12590,35823.0,True
12592,1280.0,True
12594,3645.0,True
12601,44696.0,True
12603,41513.0,True
12604,2118.0,True
12701,12191.0,True
12719,892.0,True
12720,434.0,True
12721,7590.0,True
12722,0.0,True
12723,1854.0,True
12724,77.0,True
12725,318.0,True
12726,1169.0,True
12729,1307.0,True
12732,810.0,True
12733,1891.0,True
12734,563.0,True
12736,149.0,True
12737,1817.0,True
12738,444.0,True
12740,1683.0,True
12741,309.0,True
12742,132.0,True
12743,319.0,True
12745,6.0,True
12746,598.0,True
12747,2036.0,True
12748,1616.0,True
12749,507.0,True
12750,33.0,True
12751,1340.0,True
12752,301.0,True
12754,8525.0,True
12758,4061.0,True
12759,1835.0,True
12760,337.0,True
12762,453.0,True
12763,615.0,True
12764,1827.0,True
12765,653.0,True
12766,524.0,True
12767,180.0,True
12768,805.0,True
12769,382.0,True
12770,241.0,True
12771,14345.0,True
12775,2661.0,True
12776,2046.0,True
12777,791.0,True
12778,456.0,True
12779,2207.0,True
12780,2245.0,True
12781,138.0,True
12783,1357.0,True
12784,0.0,True
12785,968.0,True
12786,553.0,True
12787,131.0,True
12788,3122.0,True
12789,2654.0,True
12790,4341.0,True
12791,589.0,True
12792,171.0,True
12801,14689.0,True
12803,8915.0,True
12804,28175.0,True
12808,283.0,True
12809,3639.0,True
12810,488.0,True
12811,177.0,True
12812,265.0,True
12814,1145.0,True
12815,999.0,True
12816,4692.0,True
12817,2023.0,True
12819,292.0,True
12820,14.0,True
12821,2228.0,True
12822,6149.0,True
12823,682.0,True
12824,1022.0,True
12827,3935.0,True
12828,9775.0,True
12831,17834.0,True
12832,6395.0,True
12833,5368.0,True
12834,6137.0,True
12835,2700.0,True
12836,473.0,True
12837,943.0,True
12838,699.0,True
12839,13618.0,True
12841,87.0,True
12842,952.0,True
12843,729.0,True
12844,207.0,True
12845,4389.0,True
12846,3007.0,True
12847,667.0,True
12849,398.0,True
12850,2537.0,True
12851,304.0,True
12852,381.0,True
12853,1384.0,True
12854,98.0,True
12855,198.0,True
12856,300.0,True
12857,613.0,True
12858,167.0,True
12859,1629.0,True
12860,377.0,True
12861,516.0,True
12862,149.0,True
12863,870.0,True
12864,9.0,True
12865,3353.0,True
12866,39657.0,True
12870,1770.0,True
