zip_code,total_population,male_population,female_population,age_under_18,age_18_to_44,age_45_plus,race_white,race_native_american,race_asian,pop_25_over,pct_bachelors_plus_25_over,count_bachelors_plus_25_over,pop_18_24,pct_bachelor_and_over_18_24,count_bachelors_plus_18_24,shape_area,borough,PO_NAME,area_sqkm,area_sqmi,population_density,Education Index,Median_Household_Income,bus_stop_count,subway_count,total_stores
10162,1769.0,884.0,885.0,393.2,338.8,259.0,1577.0,0.0,51.0,1349.0,64.5,870.0,35.0,51.4,18.0,21034.8869204,Manhattan,New York,0.0210348869204,0.0081216119097402,84098.38411274715,115.9,883.0,0.0,0.0,0.0
10165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,40779.8152022,Manhattan,New York,0.0407798152022,0.0157451682091998,0.0,,0.0,0.0,0.0,0.0
10166,,,,,,,,,,,,,,,,110438.62317,Manhattan,New York,0.11043862317,0.0426405732831833,,,,0.0,0.0,0.0
10167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,80926.1872511,Manhattan,New York,0.0809261872511,0.0312457627500242,0.0,,0.0,0.0,0.0,0.0
10168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,27810.1220594,Manhattan,New York,0.0278101220594,0.0107375437473784,0.0,,0.0,0.0,0.0,0.0
10169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,66246.3463652,Manhattan,New York,0.0662463463652,0.0255778468242964,0.0,,0.0,0.0,0.0,0.0
10170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,61793.1751378,Manhattan,New York,0.0617931751378,0.0238584685070548,0.0,,0.0,0.0,0.0,0.0
10171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,23525.085921,Manhattan,New York,0.023525085921,0.0090830827242699,0.0,,0.0,0.0,0.0,0.0
10172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,79589.1001039,Manhattan,New York,0.0795891001039,0.0307295107283159,0.0,,0.0,0.0,0.0,0.0
10173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,25689.4205868,Manhattan,New York,0.0256894205868,0.0099187366674046,0.0,,0.0,0.0,0.0,0.0
10174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,44203.2255484,Manhattan,New York,0.0442032255484,0.0170669537906883,0.0,,0.0,0.0,0.0,0.0
10175,,,,,,,,,,,,,,,,18685.3945268,Manhattan,New York,0.0186853945268,0.0072144681975865,,,,0.0,0.0,0.0
10176,,,,,,,,,,,,,,,,18289.0897346,Manhattan,New York,0.0182890897345999,0.0070614541247085,,,,0.0,0.0,0.0
10177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,24688.0511035,Manhattan,New York,0.0246880511035,0.0095321059071635,0.0,,0.0,0.0,0.0,0.0
10178,,,,,,,,,,,,,,,,51303.0376357,Manhattan,New York,0.0513030376356999,0.019808205437219,,,,0.0,0.0,0.0
10196,,,,,,,,,,,,,,,,35657.26530419,Manhattan,New York,0.03565726530419,0.0137673414484783,,,,0.0,0.0,0.0
10203,,,,,,,,,,,,,,,,37226.8835853,Manhattan,New York,0.0372268835853,0.0143733742060515,,,,0.0,0.0,0.0
10259,,,,,,,,,,,,,,,,21064.3129523,Manhattan,New York,0.0210643129522999,0.0081329733595089,,,,0.0,0.0,0.0
10260,,,,,,,,,,,,,,,,52514.7350789,Manhattan,New York,0.0525147350789,0.0202760442434334,,,,0.0,0.0,0.0
10265,,,,,,,,,,,,,,,,17229.1549665,Manhattan,New York,0.0172291549664999,0.0066522111908755,,,,0.0,0.0,0.0
10270,,,,,,,,,,,,,,,,31255.8004282,Manhattan,New York,0.0312558004282,0.0120679270569288,,,,0.0,0.0,0.0
10271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,49236.8772023,Manhattan,New York,0.0492368772023,0.0190104567615624,0.0,,0.0,0.0,0.0,0.0
10275,,,,,,,,,,,,,,,,48280.4150043,Manhattan,New York,0.0482804150043,0.0186411647939902,,,,1.0,0.0,0.0
10278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,206705.99517,Manhattan,New York,0.20670599517,0.0798095981471273,0.0,,0.0,0.0,0.0,0.0
10279,181.0,65.0,116.0,52.0,57.0,72.0,100.0,0.0,0.0,129.0,83.7,108.0,0.0,,,28664.7058134,Manhattan,New York,0.0286647058134,0.0110675002439653,6314.38540406674,,62.0,0.0,0.0,0.0
10280,8668.0,4186.0,4482.0,1017.4,3728.6,3178.0,5333.0,200.0,2463.0,7065.0,89.6,6330.0,565.0,51.2,289.0,2234113.99487,Manhattan,New York,2.23411399487,0.8625958816472967,3879.837832762146,140.8,4222.0,8.0,0.0,3.0
10281,,,,,,,,,,,,,,,,958087.21122,Manhattan,New York,0.95808721122,0.3699193884264645,,,,5.0,0.0,4.0
10282,5960.0,3257.0,2703.0,1541.2,2288.8,1524.0,4207.0,0.0,903.0,4258.0,82.0,3492.0,131.0,45.8,60.0,1561954.68329,Manhattan,New York,1.56195468329,0.6030738271276356,3815.7317006446324,127.8,2584.0,6.0,0.0,2.0
10285,,,,,,,,,,,,,,,,67350.3889582,Manhattan,New York,0.0673503889582,0.0260041198775389,,,,0.0,0.0,1.0
10286,,,,,,,,,,,,,,,,11264.4123791,Manhattan,New York,0.0112644123791,0.0043492121483952,,,,0.0,0.0,0.0
10301,39799.0,19331.0,20468.0,9119.6,14603.4,9858.0,17504.0,318.0,3050.0,27600.0,38.2,10543.0,3478.0,12.6,438.0,105182712.649,Staten Island,Staten Island,105.182712649,40.6112557192042,378.3796690318424,50.800000000000004,14430.0,210.0,2.0,65.0
10302,19693.0,10444.0,9249.0,5096.8,7300.2,5281.0,6572.0,319.0,1180.0,12959.0,28.9,3745.0,1928.0,7.1,137.0,29555323.0234,Staten Island,Staten Island,29.5553230234,11.411369329980786,666.309753556351,36.0,6159.0,101.0,0.0,54.0
10303,25993.0,12137.0,13856.0,6717.0,8970.0,7067.0,6824.0,84.0,2607.0,17467.0,29.6,5170.0,2220.0,13.1,291.0,81629773.5183,Staten Island,Staten Island,81.6297735183,31.517418814962667,318.4254822680944,42.7,8742.0,104.0,0.0,37.0
10304,45843.0,22019.0,23824.0,10431.2,15807.8,12802.0,19743.0,530.0,6090.0,31617.0,31.4,9928.0,4368.0,15.4,673.0,98226679.797,Staten Island,Staten Island,98.226679797,37.925517522981295,466.7061952490032,46.8,15900.0,120.0,4.0,55.0
10305,41714.0,20586.0,21128.0,7965.6,13365.4,12057.0,26964.0,248.0,8626.0,31274.0,31.9,9976.0,2917.0,21.8,636.0,111441829.317,Staten Island,Staten Island,111.441829317,43.02791318295233,374.3118742365861,53.7,15637.0,183.0,1.0,53.0
10306,57249.0,28292.0,28957.0,12764.8,18146.2,15669.0,39494.0,85.0,8985.0,40780.0,33.6,13702.0,4269.0,27.1,1157.0,174102872.047,Staten Island,Staten Island,174.10287204699998,67.22146710309079,328.8228351830137,60.7,19846.0,216.0,5.0,45.0
10307,14821.0,7770.0,7051.0,3486.6,4706.4,4327.0,12665.0,0.0,693.0,10140.0,39.5,4005.0,1228.0,44.8,550.0,46028382.6284,Staten Island,Staten Island,46.0283826284,17.771650589590497,321.9969756411837,84.3,5135.0,41.0,2.0,13.0
10308,29996.0,14354.0,15642.0,6171.6,9569.4,9264.0,24886.0,59.0,2256.0,21765.0,40.4,8793.0,2256.0,26.1,589.0,62751041.8152,Staten Island,Staten Island,62.7510418152,24.228302746932354,478.0159680589424,66.5,10323.0,58.0,1.0,17.0
10309,34918.0,17200.0,17718.0,7891.2,10757.8,10298.0,30698.0,33.0,1390.0,24801.0,39.9,9896.0,2353.0,29.4,692.0,215835793.513,Staten Island,Staten Island,215.835793513,83.33463154695633,161.78039532584225,69.3,12108.0,134.0,3.0,28.0
10310,25824.0,12438.0,13386.0,6887.8,8703.2,6850.0,12927.0,220.0,1338.0,17295.0,30.8,5327.0,1916.0,19.4,372.0,53463275.0023,Staten Island,Staten Island,53.4632750023,20.642277404938035,483.02315933487137,50.2,8982.0,136.0,0.0,40.0
10312,63345.0,30956.0,32389.0,15106.6,20401.4,16959.0,50048.0,33.0,5989.0,43322.0,40.9,17719.0,5303.0,30.0,1591.0,169087432.912,Staten Island,Staten Island,169.087432912,65.28499602218902,374.6286693758449,70.9,21366.0,169.0,3.0,31.0
10314,93539.0,45695.0,47844.0,20559.2,30634.8,24235.0,61357.0,659.0,17404.0,66392.0,37.3,24764.0,7743.0,27.7,2145.0,473985727.133,Staten Island,Staten Island,473.985727133,183.00683721750556,197.34560482609857,65.0,31419.0,320.0,0.0,66.0
10451,48975.0,22034.0,26941.0,11934.4,19150.6,10880.0,6413.0,273.0,557.0,33363.0,21.3,7106.0,4581.0,7.5,344.0,28944106.5181,Bronx,Bronx,28.9441065181,11.175377414851448,1692.0543036757351,28.8,21414.0,94.0,3.0,94.0
10452,76745.0,36593.0,40152.0,22506.8,27847.2,17933.0,8949.0,763.0,705.0,48761.0,14.3,6973.0,6814.0,5.5,375.0,27550385.8534,Bronx,Bronx,27.5503858534,10.637259078769446,2785.6234177035626,19.8,28397.0,68.0,6.0,124.0
10453,78270.0,35367.0,42903.0,21028.2,28693.8,20649.0,8812.0,1306.0,998.0,50649.0,14.5,7344.0,7516.0,9.8,737.0,25748509.2714,Bronx,Bronx,25.7485092714,9.941550926706082,3039.787631004251,24.3,28462.0,79.0,2.0,118.0
10454,40368.0,18645.0,21723.0,11047.4,15453.6,9216.0,4879.0,1044.0,243.0,25673.0,13.9,3569.0,4118.0,10.9,449.0,31063613.3255,Bronx,Bronx,31.0636133255,11.993723232202202,1299.5268636975359,24.8,14910.0,49.0,4.0,88.0
