store_name,square_footage,operation_type,georeference,Zip_Code_Clean
M&A DELI GROCERY 1,700.0,Store,POINT (-73.893672272 40.859953491),10458
KINGS PHARMACY,,Store,POINT (-73.943184174 40.655723685),11203
NETO CHOCOLATE,2700.0,Store,POINT (-73.933917058 40.600453751),11229
LAYFAYETTE DELI & CONVENIENCE,,Store,POINT (-74.000777488 40.717949132),10013
TOP FISH MKT,,Store,POINT (-73.929507255 40.65178704),11203
CALIFORNIA GRILL AND DELI,1000.0,Store,POINT (-73.955991135 40.814057584),10027
NETRA MINI MARKET,,Store,POINT (-73.882983417 40.749780457),11372
FIREHOUSE DELI & GRILL #3,,Store,POINT (-73.933659398 40.698358151),11206
JIMMY DELI & CONVENIENCE,,Store,POINT (-73.950002936 40.657217382),11225
MGB GOURMET DELI,,Store,POINT (-73.941176037 40.69944189),11206
LINDEN STOP DELI,2000.0,Store,POINT (-73.75120389 40.694878698),11412
MAX FRESH FOOD DELI,,Store,POINT (-73.90119042 40.820229724),10459
OKKA FOODS MARKET,10000.0,Store,POINT (-73.957554276 40.608928651),11229
HARSH DELI & GRILL,,Store,POINT (-73.829930161 40.700337161),11418
PIKE PLACE MARKET & GRILL,,Store,POINT (-73.813242546 40.718917367),11367
BEST DELI & GRILL II,1500.0,Store,POINT (-73.89883544 40.889624716),10471
SANAHY FOOD CORNER,1000.0,Store,POINT (-73.758854137 40.706424099),11412
OLINVILLE DELI PLAZA,1200.0,Store,POINT (-73.868459507 40.858645747),10467
411 NEW LOTS DELI,2000.0,Store,POINT (-73.892519844 40.662228125),11207
FRIDGES,,Store,POINT (-73.969861592 40.760177872),10022
WORLD OF HEALTH,,Store,POINT (-73.93692482 40.850397703),10033
EL TRIANGULO DELI MARKET,1800.0,Store,POINT (-73.898394636 40.854248894),10457
MEET ME AT BENNIIS,,Store,POINT (-73.988500849 40.737560774),10003
ELM MINI MART,2000.0,Store,POINT (-74.113653225 40.637602471),10310
VERY BERRY DELI,1000.0,Store,POINT (-73.753842597 40.600842294),11691
HUSSIENS 99 CENTS AND UP,800.0,Store,POINT (-73.905533838 40.855574953),10453
SHINING STARS STORE,1200.0,Store,POINT (-73.942743537 40.70107854),11206
1086 BOSTON RD DELI,,Store,POINT (-73.905027823 40.826990148),10456
W CANDY,,Store,POINT (-73.918639195 40.818851446),10451
DAVIDS MINI MARKET,1600.0,Store,POINT (-73.961933234 40.598104387),11223
JS ORGANIC MARKET,,Store,POINT (-73.933654324 40.669208828),11213
1285 ROYALTY GOURMET,2000.0,Store,POINT (-73.892079542 40.830391944),10459
FRESH BITES CAFE,,Store,POINT (-73.871497109 40.742303757),11373
MIDWOOD GROCERY,,Store,POINT (-73.960365315 40.65921064),11225
GUNHILL MEXICAN DELI GROCERY,800.0,Store,POINT (-73.863890196 40.876742276),10467
75 CONVENIENT,,Store,POINT (-73.866744402 40.691269492),11421
LUCKI MART,1000.0,Store,POINT (-73.803017714 40.771348183),11358
FAMILY FIRST DISCOUNT,1400.0,Store,POINT (-73.958295236 40.643844558),11226
53 CHOPPED CHEESE,1400.0,Store,POINT (-73.903381952 40.86289797),10468
6052 DOLPHINS GOURMET DELI,1700.0,Store,POINT (-73.90305665 40.909979539),10471
JAY & M DELI,,Store,POINT (-73.977951395 40.721179536),10009
HALA DELI,900.0,Store,POINT (-73.891577299 40.849174029),10457
826 SNACK AND CONVENIENCE STORE,,Store,POINT (-73.862165536 40.88435778),10467
ZAK ORGANIC CONVENIENCE,,Store,POINT (-73.826265341 40.71223223),11415
CVS/PHARMACY #11355,,Store,POINT (-73.968682637 40.798631872),10025
TACO GRANDE DELI,800.0,Store,POINT (-73.86730096 40.831253017),10472
HUA TING,700.0,Store,POINT (-73.829186602 40.747237597),11355
BROADWAY STARS DELI,1200.0,Store,POINT (-73.968425018 40.799997487),10025
A AND M DELI GROCERY,800.0,Store,POINT (-73.790041103 40.67317925),11436
331 EXPRESS DELI GROCERY,1200.0,Store,POINT (-73.987138814 40.667958824),11215
H&S CONVENIENCE,1000.0,Store,POINT (-73.905071325 40.844526096),10457
BLACK OLIVE GOURMET,1200.0,Store,POINT (-73.918771713 40.83839708),10452
9 STAR DELI AND GROCERY,,Store,POINT (-73.861343355 40.865398501),10469
NUEVA ESPERANZA DELI,500.0,Store,POINT (-73.912827183 40.838004221),10456
ORGANIC SNACKS 1 & CONVENIENCE,2000.0,Store,POINT (-73.989846061 40.6651848),11215
