zip_code,Median_Household_Income
13827,4770.0
13830,1981.0
13832,193.0
13833,1479.0
13834,65.0
13835,527.0
13838,1705.0
13839,528.0
13841,188.0
13842,218.0
13843,738.0
13844,195.0
13846,145.0
13847,12.0
13849,1897.0
13850,9392.0
13856,2748.0
13859,48.0
13860,87.0
13861,292.0
13862,1468.0
13863,177.0
13864,763.0
13865,2584.0
13901,8641.0
13902,0.0
13903,7858.0
13904,3644.0
13905,11572.0
14001,3994.0
14004,4235.0
14005,643.0
14006,4153.0
14008,632.0
14009,2727.0
14011,2185.0
14012,1132.0
14013,631.0
14020,10371.0
14024,620.0
14025,1529.0
14026,307.0
14027,57.0
14028,670.0
14029,19.0
14030,743.0
14031,4129.0
14032,3786.0
14033,660.0
14034,789.0
14035,26.0
14036,2396.0
14037,382.0
14039,49.0
14040,600.0
14041,86.0
14042,1819.0
14043,11224.0
14047,2571.0
14048,6775.0
14051,8211.0
14052,7090.0
14054,555.0
14055,682.0
14056,104.0
14057,3090.0
14058,865.0
14059,3630.0
14060,167.0
14061,36.0
14062,1330.0
14063,5309.0
14065,670.0
14066,471.0
14067,1750.0
14068,3189.0
14069,251.0
14070,2216.0
14072,8874.0
14075,19527.0
14080,1931.0
14081,1085.0
14082,175.0
14083,10.0
14085,3044.0
14086,15124.0
14091,522.0
14092,4997.0
14094,21548.0
14098,1124.0
14101,769.0
14102,655.0
14103,4464.0
14105,1917.0
14108,2165.0
14109,0.0
14111,1302.0
14112,12.0
14113,282.0
14120,19314.0
14125,1449.0
14126,94.0
14127,13050.0
14129,467.0
14130,40.0
14131,2007.0
14132,2266.0
14134,30.0
14135,53.0
14136,2257.0
14138,790.0
14139,837.0
14141,3216.0
14143,482.0
14145,535.0
14150,19397.0
14166,75.0
14167,840.0
14168,39.0
14169,74.0
14170,841.0
14171,791.0
14172,1375.0
14173,87.0
14174,2425.0
14201,5954.0
14202,2204.0
14203,1690.0
14204,4326.0
14206,9584.0
14207,10356.0
14208,4667.0
14209,4186.0
14210,7140.0
14211,9685.0
14212,4924.0
14213,9305.0
14214,8422.0
14215,17139.0
14216,11859.0
14217,10855.0
14218,8755.0
14219,5298.0
14220,10297.0
14221,24193.0
14222,6817.0
14223,10247.0
14224,18448.0
14225,15739.0
14226,12614.0
14227,10075.0
14228,10119.0
14260,0.0
14261,0.0
14301,5924.0
14302,115.0
14303,2871.0
14304,12915.0
14305,7253.0
14411,5052.0
14413,14.0
14414,2859.0
14415,42.0
14416,1505.0
14418,450.0
14420,7657.0
14422,638.0
14423,2046.0
14424,12896.0
14425,5186.0
14427,872.0
14428,3306.0
14432,2126.0
14433,1640.0
14435,1093.0
14437,3983.0
14441,108.0
14445,3486.0
14450,18398.0
14453,0.0
14454,3432.0
14456,8183.0
14462,264.0
14463,122.0
14464,2650.0
14466,643.0
14467,4490.0
14468,6981.0
14469,2623.0
14470,3333.0
14471,1339.0
14472,3466.0
14475,105.0
14476,946.0
14477,666.0
14478,340.0
14479,31.0
14480,266.0
14481,802.0
14482,3705.0
14485,1601.0
14486,133.0
14487,2260.0
14489,2672.0
14502,4607.0
14504,710.0
14505,2095.0
14506,434.0
14507,472.0
14510,1940.0
14511,168.0
14512,2016.0
14513,5876.0
14514,2589.0
14515,93.0
14516,829.0
14517,1147.0
14519,5082.0
14521,1186.0
14522,4023.0
14525,1028.0
14526,7857.0
14527,4836.0
14529,35.0
14530,2415.0
14532,1680.0
14533,707.0
14534,12699.0
14536,307.0
14537,126.0
14539,47.0
14541,845.0
14542,20.0
14543,1368.0
14544,925.0
14545,54.0
14546,1989.0
14548,1572.0
14549,148.0
14550,571.0
14551,2344.0
14555,604.0
14556,0.0
14557,49.0
14559,7136.0
14560,1069.0
14561,943.0
14564,6762.0
14568,2593.0
14569,2953.0
14571,408.0
14572,1795.0
14580,23728.0
14585,107.0
14586,4795.0
14588,0.0
14589,3093.0
14590,2330.0
14591,634.0
14592,57.0
14604,1952.0
14605,4454.0
14606,10907.0
14607,10936.0
14608,5964.0
14609,17784.0
14610,7233.0
14611,7246.0
14612,15328.0
14613,5713.0
14614,140.0
14615,7880.0
14616,11518.0
14617,9300.0
14618,8614.0
14619,5376.0
14620,11956.0
14621,13090.0
14622,5848.0
14623,8877.0
14624,15421.0
14625,4834.0
14626,12945.0
14627,0.0
14642,0.0
14701,17004.0
14706,2576.0
14707,58.0
14708,48.0
14709,525.0
14710,1287.0
14711,628.0
14712,1477.0
14714,195.0
14715,985.0
14716,714.0
14717,327.0
14718,726.0
14719,1399.0
14720,346.0
14721,87.0
14722,133.0
14723,430.0
14724,953.0
14726,605.0
14727,2083.0
14728,364.0
14729,380.0
14731,576.0
14732,13.0
14733,1413.0
14735,916.0
14736,84.0
14737,1697.0
14738,1390.0
14739,1030.0
14740,470.0
14741,813.0
14742,59.0
14743,839.0
14744,442.0
14747,861.0
14748,232.0
14750,1954.0
14752,77.0
14753,436.0
14754,294.0
14755,1154.0
14756,0.0
14757,1338.0
14760,7987.0
14767,792.0
14769,322.0
14770,1242.0
14772,1671.0
14774,70.0
14775,898.0
14777,169.0
14778,0.0
14779,2851.0
14781,753.0
14782,901.0
14783,49.0
14784,352.0
14785,0.0
14787,2338.0
14788,26.0
14801,1922.0
14802,583.0
14803,574.0
14804,542.0
14805,339.0
14806,769.0
14807,1168.0
14808,240.0
14809,993.0
14810,5351.0
14812,1221.0
14813,953.0
14814,737.0
14815,321.0
14816,225.0
14817,1301.0
14818,815.0
14819,234.0
14820,215.0
14821,1143.0
14822,360.0
14823,1439.0
14824,309.0
14825,332.0
14826,847.0
14827,0.0
14830,8493.0
14836,483.0
14837,2030.0
14838,834.0
14839,250.0
14840,1203.0
14841,352.0
14842,306.0
14843,5540.0
14845,8890.0
14846,355.0
14847,929.0
14850,28527.0
14853,0.0
14854,58.0
14855,300.0
14856,0.0
14858,525.0
14859,414.0
14860,480.0
14861,556.0
14864,522.0
14865,1020.0
14867,2304.0
14869,446.0
14870,4157.0
14871,1829.0
14872,254.0
14873,777.0
14874,56.0
14877,219.0
14878,248.0
14879,861.0
14880,700.0
14881,86.0
14882,1576.0
14883,1849.0
14884,160.0
14885,264.0
14886,2945.0
14889,535.0
14891,2057.0
14892,3346.0
14893,6.0
14894,480.0
14895,3819.0
14897,300.0
14898,521.0
14901,5550.0
14903,3071.0
14904,6419.0
14905,3859.0
