zip_code,total_population,male_population,female_population,age_under_18,age_18_to_44,age_45_plus,race_white,race_native_american,race_asian
10710,25684.0,12458.0,13226.0,5034.8,8281.2,6784.0,11269.0,418.0,2942.0
10801,41984.0,20943.0,21041.0,8935.6,15796.4,10970.0,15461.0,300.0,2767.0
10803,13096.0,6431.0,6665.0,4047.0,3925.0,3481.0,9301.0,0.0,873.0
10804,15228.0,7751.0,7477.0,4179.2,3262.8,4412.0,11813.0,0.0,516.0
10805,21230.0,10092.0,11138.0,3556.6,7210.4,5659.0,9487.0,194.0,956.0
10901,26224.0,11782.0,14442.0,7498.2,7059.8,6802.0,18728.0,190.0,1241.0
10910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10911,18.0,0.0,18.0,0.0,18.0,0.0,8.0,0.0,0.0
10913,5333.0,2633.0,2700.0,1163.6,1701.4,1488.0,4010.0,0.0,351.0
10914,691.0,406.0,285.0,287.8,229.2,126.0,216.0,0.0,0.0
10915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10916,4531.0,2393.0,2138.0,1082.0,1216.0,1550.0,3321.0,0.0,147.0
10917,1575.0,970.0,605.0,456.8,429.2,433.0,1135.0,0.0,112.0
10918,11937.0,5597.0,6340.0,2894.0,3762.0,3468.0,8429.0,24.0,387.0
10919,1383.0,852.0,531.0,233.0,197.0,807.0,711.0,0.0,46.0
10920,8493.0,3948.0,4545.0,2101.0,2150.0,2933.0,5680.0,0.0,862.0
10921,4358.0,2276.0,2082.0,939.6,1617.4,1084.0,2981.0,223.0,210.0
10922,1072.0,646.0,426.0,149.8,322.2,362.0,796.0,43.0,31.0
10923,9188.0,4603.0,4585.0,2705.4,2503.6,2900.0,3845.0,0.0,494.0
10924,13612.0,6794.0,6818.0,2818.0,3878.0,3985.0,10287.0,269.0,386.0
10925,4440.0,2198.0,2242.0,755.0,1521.0,1270.0,3604.0,115.0,166.0
10926,3741.0,1583.0,2158.0,919.6,1093.4,1099.0,1964.0,37.0,314.0
10927,12273.0,6438.0,5835.0,3073.4,3888.6,3170.0,3230.0,185.0,330.0
10928,5273.0,2928.0,2345.0,1183.4,1678.6,1625.0,2555.0,13.0,264.0
10930,10342.0,5155.0,5187.0,2660.0,3276.0,3091.0,6516.0,32.0,660.0
10931,1170.0,522.0,648.0,418.2,339.8,265.0,425.0,53.0,8.0
10932,14.0,7.0,7.0,0.0,0.0,14.0,0.0,0.0,0.0
10933,312.0,93.0,219.0,156.8,110.2,32.0,312.0,0.0,0.0
10940,53099.0,26908.0,26191.0,13369.6,18080.4,13851.0,23066.0,1386.0,2066.0
10941,14761.0,7501.0,7260.0,3027.8,5261.2,4214.0,7013.0,187.0,677.0
10950,65391.0,32158.0,33233.0,30491.4,20108.6,10365.0,55396.0,325.0,797.0
10952,47169.0,23518.0,23651.0,22459.2,13955.8,6235.0,41494.0,5.0,431.0
10953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10954,27474.0,12583.0,14891.0,5729.6,8359.4,8105.0,14755.0,79.0,3689.0
10956,31420.0,15879.0,15541.0,7671.8,9010.2,8334.0,19466.0,183.0,4033.0
10958,2717.0,1574.0,1143.0,623.2,878.8,846.0,1988.0,2.0,25.0
10960,15277.0,7401.0,7876.0,2894.4,5356.6,4024.0,9428.0,0.0,713.0
10962,4921.0,2273.0,2648.0,796.8,1567.2,1299.0,3149.0,0.0,761.0
10963,3940.0,2667.0,1273.0,633.4,1425.6,1176.0,2271.0,14.0,149.0
10964,1395.0,608.0,787.0,220.6,447.4,407.0,1056.0,6.0,220.0
10965,15526.0,8158.0,7368.0,3891.8,4499.2,4207.0,12043.0,199.0,583.0
10968,2406.0,1319.0,1087.0,378.2,715.8,820.0,2042.0,0.0,236.0
10969,1333.0,720.0,613.0,430.6,454.4,332.0,1101.0,0.0,7.0
10970,11636.0,5461.0,6175.0,3083.2,4088.8,2615.0,5699.0,68.0,847.0
10973,2300.0,1159.0,1141.0,591.0,790.0,544.0,1577.0,68.0,34.0
10974,3324.0,1716.0,1608.0,773.4,946.6,1161.0,2322.0,153.0,198.0
10975,254.0,156.0,98.0,78.0,131.0,14.0,56.0,0.0,0.0
10976,2215.0,922.0,1293.0,577.6,721.4,425.0,1420.0,0.0,190.0
10977,71465.0,36931.0,34534.0,30210.2,24436.8,10692.0,40807.0,287.0,1893.0
10979,84.0,41.0,43.0,0.0,84.0,0.0,84.0,0.0,0.0
10980,13793.0,7112.0,6681.0,3014.0,4046.0,4120.0,9411.0,0.0,368.0
10983,5489.0,2648.0,2841.0,986.4000000000001,1645.6,1808.0,3985.0,0.0,670.0
10984,2760.0,1456.0,1304.0,683.6,890.4,588.0,1870.0,0.0,115.0
10985,18.0,12.0,6.0,6.0,12.0,0.0,18.0,0.0,0.0
10986,1402.0,625.0,777.0,207.8,387.2,546.0,1102.0,0.0,47.0
10987,4041.0,2042.0,1999.0,665.2,1059.8,1316.0,2956.0,0.0,137.0
10988,684.0,282.0,402.0,213.2,242.8,149.0,572.0,0.0,0.0
10989,8410.0,4028.0,4382.0,1363.4,2301.6,2370.0,5856.0,0.0,1001.0
10990,20370.0,9881.0,10489.0,4110.4,5647.6,6334.0,17347.0,296.0,316.0
10992,10412.0,5128.0,5284.0,2810.6,3632.4,2635.0,6067.0,4.0,127.0
10993,4230.0,2110.0,2120.0,563.8,1577.2,1263.0,1417.0,37.0,122.0
10994,5925.0,2950.0,2975.0,1129.8,1408.2,1906.0,4252.0,0.0,692.0
10996,6549.0,3823.0,2726.0,2241.8,3570.2,697.0,4866.0,0.0,266.0
10998,3676.0,1888.0,1788.0,920.4,1309.6,999.0,2856.0,7.0,0.0
11001,25714.0,12892.0,12822.0,5764.2,8158.8,7082.0,14226.0,151.0,6312.0
11003,44716.0,22188.0,22528.0,9486.8,16093.2,11839.0,7588.0,322.0,7557.0
11004,14296.0,6964.0,7332.0,2361.8,4380.2,3510.0,4097.0,0.0,7435.0
11005,2195.0,802.0,1393.0,15.0,12.0,235.0,2102.0,29.0,64.0
11010,25618.0,12564.0,13054.0,5406.6,9017.4,6590.0,16975.0,26.0,3129.0
11020,5986.0,3033.0,2953.0,1288.4,1834.6,1929.0,2436.0,0.0,2581.0
11021,19474.0,8826.0,10648.0,3898.4,5331.6,5578.0,11358.0,142.0,5947.0
11023,9824.0,4975.0,4849.0,3207.2,2598.8,1978.0,7335.0,0.0,1629.0
11024,8821.0,4618.0,4203.0,3142.4,2499.6,1575.0,7324.0,0.0,471.0
11030,17703.0,8752.0,8951.0,4688.6,3917.4,5930.0,12407.0,0.0,3553.0
11040,42344.0,20758.0,21586.0,8784.8,13147.2,11739.0,18307.0,338.0,18556.0
11042,232.0,32.0,200.0,0.0,0.0,33.0,177.0,0.0,7.0
11050,32657.0,15989.0,16668.0,8242.6,8696.4,9196.0,22498.0,27.0,3199.0
11096,9897.0,5224.0,4673.0,2975.2,3487.8,2215.0,3699.0,26.0,822.0
11101,39007.0,19876.0,19131.0,5864.2,22737.8,7225.0,14613.0,261.0,12179.0
11102,28349.0,14117.0,14232.0,4184.8,14336.2,6181.0,14744.0,218.0,4449.0
11103,35357.0,17647.0,17710.0,4936.4,18111.6,8079.0,21137.0,124.0,4520.0
11104,26825.0,13050.0,13775.0,4706.8,11941.2,6653.0,11994.0,54.0,7601.0
11105,38507.0,19223.0,19284.0,6281.2,18522.8,8543.0,25080.0,312.0,4133.0
11106,40657.0,20053.0,20604.0,6482.2,19005.8,9470.0,19097.0,420.0,7534.0
11109,7388.0,4020.0,3368.0,1394.8,4422.2,1200.0,4554.0,0.0,2059.0
11201,69251.0,32265.0,36986.0,12304.8,34651.2,13625.0,41843.0,113.0,9950.0
11203,76853.0,35157.0,41696.0,14882.0,25287.0,20479.0,4312.0,123.0,1352.0
11204,81368.0,39681.0,41687.0,26404.4,24414.6,19174.0,44863.0,587.0,23781.0
11205,50205.0,23282.0,26923.0,15821.0,21195.0,8531.0,27195.0,374.0,3381.0
11206,89231.0,41993.0,47238.0,25180.4,38898.6,15478.0,37667.0,763.0,5891.0
11207,93445.0,41735.0,51710.0,21242.4,36049.6,22850.0,10443.0,267.0,1476.0
11208,106901.0,51834.0,55067.0,30061.6,37200.4,26561.0,11350.0,115.0,11220.0
11209,70756.0,34163.0,36593.0,14449.2,24296.8,17882.0,45955.0,896.0,9614.0
11210,60398.0,30034.0,30364.0,14384.0,20489.0,14948.0,18556.0,148.0,3301.0
11211,65691.0,33199.0,32492.0,14046.8,35985.2,9981.0,41352.0,285.0,4580.0
11212,87946.0,37390.0,50556.0,22965.6,31397.4,21933.0,5860.0,218.0,993.0
11213,69630.0,32557.0,37073.0,16829.2,27787.8,15533.0,17385.0,34.0,1179.0
11214,88994.0,43694.0,45300.0,20089.2,28781.8,23510.0,37446.0,864.0,33593.0
11215,70922.0,35423.0,35499.0,15447.0,30535.0,16757.0,50513.0,298.0,6460.0
11216,59913.0,26620.0,33293.0,8611.2,31976.8,12192.0,18885.0,79.0,3057.0
11217,42569.0,19711.0,22858.0,7691.4,21170.6,8651.0,22392.0,105.0,4028.0
11218,71313.0,36111.0,35202.0,18755.2,24687.8,18074.0,37197.0,618.0,13344.0
11219,94737.0,49087.0,45650.0,38941.4,30104.6,14860.0,58245.0,664.0,20090.0
11220,90792.0,45005.0,45787.0,23560.6,32773.4,21647.0,20328.0,1458.0,36377.0
11221,90750.0,42373.0,48377.0,16035.2,47155.8,18172.0,20702.0,795.0,5215.0
11222,41418.0,20130.0,21288.0,5376.6,24772.4,7433.0,29416.0,162.0,2422.0
11223,78566.0,37766.0,40800.0,22400.4,25114.6,18622.0,41478.0,293.0,20502.0
11224,48469.0,22090.0,26379.0,10914.0,12105.0,11779.0,24103.0,187.0,4123.0
11225,56544.0,26777.0,29767.0,10085.0,23832.0,13595.0,16108.0,28.0,1723.0
11226,100022.0,46690.0,53332.0,19172.0,43519.0,23564.0,15760.0,1108.0,4063.0
11228,42325.0,20952.0,21373.0,8131.6,13527.4,11804.0,21557.0,204.0,15485.0
11229,79802.0,38753.0,41049.0,18511.6,23470.4,20865.0,48542.0,86.0,17803.0
11230,88252.0,43740.0,44512.0,24591.6,28989.4,18860.0,53196.0,646.0,14698.0
11231,39704.0,18618.0,21086.0,9632.0,15787.0,9942.0,25607.0,74.0,1956.0
11232,26681.0,14669.0,12012.0,5284.2,12106.8,6801.0,9232.0,1049.0,4002.0
11233,82711.0,38328.0,44383.0,17446.6,34718.4,20347.0,11722.0,327.0,1280.0
11234,87778.0,40562.0,47216.0,18999.8,26658.2,23882.0,31896.0,432.0,7205.0
11235,81958.0,38930.0,43028.0,14488.6,24372.4,22264.0,56257.0,189.0,12036.0
11236,95174.0,43576.0,51598.0,21011.6,31903.4,24814.0,4638.0,86.0,2286.0
11237,45233.0,23215.0,22018.0,6843.4,25194.6,8661.0,14395.0,1100.0,3084.0
11238,58462.0,26369.0,32093.0,10089.4,28686.6,12579.0,29245.0,252.0,4106.0
